代码,名称,5分钟表命中次数(Gain_1),1分钟表命中次数(Gain_1),差值(1分钟-5分钟)
000066,中国长城,8,0,-8
000601,韶能股份,12,0,-12
000720,新能泰山,10,0,-10
000767,晋控电力,13,0,-13
000791,甘肃能源,10,0,-10
000889,中嘉博创,8,0,-8
001211,双枪科技,9,0,-9
001896,豫能控股,10,0,-10
002015,协鑫能科,8,0,-8
002030,达安基因,8,0,-8
002031,巨轮智能,13,0,-13
002066,瑞泰科技,10,0,-10
002081,金 螳 螂,14,0,-14
002181,粤 传 媒,8,0,-8
002208,合肥城建,20,0,-20
002217,合力泰,9,0,-9
002222,福晶科技,10,0,-10
002281,光迅科技,9,0,-9
002361,神剑股份,9,0,-9
002428,云南锗业,8,0,-8
002580,圣阳股份,12,0,-12
002810,山东赫达,9,0,-9
002902,铭普光磁,8,0,-8
002929,润建股份,10,0,-10
002940,昂利康,8,0,-8
002971,和远气体,10,0,-10
002980,华盛昌,14,0,-14
003036,泰坦股份,11,0,-11
300052,中青宝,8,0,-8
300133,华策影视,9,0,-9
300209,行云科技,13,0,-13
300210,森远股份,9,0,-9
300283,温州宏丰,9,0,-9
300292,吴通控股,9,0,-9
300302,同有科技,8,0,-8
300322,硕贝德,8,0,-8
300323,华灿光电,11,0,-11
300449,汉邦高科,8,0,-8
300571,平治信息,14,0,-14
300616,尚品宅配,8,0,-8
300632,光莆股份,18,0,-18
300687,赛意信息,11,0,-11
300715,凯伦股份,8,0,-8
300721,怡达股份,11,0,-11
300736,百邦科技,9,0,-9
300776,帝尔激光,16,0,-16
300816,艾可蓝,9,0,-9
300819,聚杰微纤,13,0,-13
300820,英杰电气,12,0,-12
300843,胜蓝股份,9,0,-9
300903,科翔股份,11,0,-11
300905,宝丽迪,10,0,-10
300911,亿田智能,8,0,-8
300912,凯龙高科,8,0,-8
301157,华塑科技,9,0,-9
301183,东田微,15,0,-15
301188,力诺药包,11,0,-11
301189,奥尼电子,12,0,-12
301196,唯科科技,8,0,-8
301197,工大科雅,12,0,-12
301217,铜冠铜箔,13,0,-13
301232,飞沃科技,9,0,-9
301285,鸿日达,9,0,-9
301286,侨源股份,9,0,-9
301317,鑫磊股份,10,0,-10
301319,唯特偶,13,0,-13
301373,凌玮科技,13,0,-13
301387,光大同创,10,0,-10
301389,隆扬电子,9,0,-9
301486,致尚科技,8,0,-8
301502,华阳智能,9,0,-9
301531,C春光集,23,0,-23
301538,骏鼎达,11,0,-11
301590,优优绿能,11,0,-11
301666,大普微,26,0,-26
301696,三瑞智能,8,0,-8
600032,浙江新能,10,0,-10
600076,康欣新材,8,0,-8
600088,中视传媒,8,0,-8
600130,波导股份,17,0,-17
600156,华升股份,9,0,-9
600172,黄河旋风,10,0,-10
600184,光电股份,9,0,-9
600186,莲花控股,8,0,-8
600198,大唐电信,9,0,-9
600208,衢州发展,9,0,-9
600236,桂冠电力,8,0,-8
600379,宝光股份,15,0,-15
600396,华电辽能,21,0,-21
600488,津药药业,14,0,-14
600539,狮头股份,11,0,-11
600545,卓郎智能,8,0,-8
600683,京投发展,13,0,-13
600707,彩虹股份,12,0,-12
600714,金瑞矿业,8,0,-8
600719,大连热电,17,0,-17
600722,金牛化工,8,0,-8
600726,华电能源,20,0,-20
600736,苏州高新,9,0,-9
600758,辽宁能源,9,0,-9
600854,春兰股份,11,0,-11
600857,宁波中百,13,0,-13
600936,北投科技,8,0,-8
600982,宁波能源,8,0,-8
601016,节能风电,9,0,-9
601991,大唐发电,12,0,-12
603007,花王股份,10,0,-10
603093,南华期货,8,0,-8
603095,越剑智能,8,0,-8
603115,海星股份,12,0,-12
603116,红蜻蜓,8,0,-8
603178,圣龙股份,9,0,-9
